"'Pimped up' the UI of the module creator","'Pimped up' the UI of the module creator"
"--Has no relation with--","--Has no relation with--"
"<a href=""#"">Select menu parent and position</a>","<a href=""#"">Select menu parent and position</a>"
"<a href=""https://github.com/tzyganu/UMC1.9/issues/28"" target=""_blank"">#28</a>","<a href=""https://github.com/tzyganu/UMC1.9/issues/28"" target=""_blank"">#28</a>"
"<a href=""https://github.com/tzyganu/UMC1.9/issues/29"" target=""_blank"">#29</a>","<a href=""https://github.com/tzyganu/UMC1.9/issues/29"" target=""_blank"">#29</a>"
"<span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with categories' is set to 'Yes'.","<span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with categories' is set to 'Yes'."
"<span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with products' is set to 'Yes'.","<span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with products' is set to 'Yes'."
"<span class=""label label-info"">Info:</span>Try to use English words for this label. It's not mandatory, but it makes the taxonomy more readable. UMC will create a language file for the modules it generates and you can translate your module.<br /><span class=""label label-info"">Info:</span>I recommend the first letter to be uppercase.","<span class=""label label-info"">Info:</span>Try to use English words for this label. It's not mandatory, but it makes the taxonomy more readable. UMC will create a language file for the modules it generates and you can translate your module.<br /><span class=""label label-info"">Info:</span>I recommend the first letter to be uppercase."
"<span class=""label label-info"">Info:</span>Use only letters. No numbers, no underscores, all in lowercase.","<span class=""label label-info"">Info:</span>Use only letters. No numbers, no underscores, all in lowercase."
"<span class=""label label-info"">Info:</span>Use only letters. No numbers, no underscores, all in lowercase.<br /><span class=""label label-info"">Info:</span>:There are some restrictions to these values, because there are reserved strings that might make the code not function properly. For example: 'resource', 'setup'. For a complete list of restrictions see Ultimate_ModuleCreator_Helper_Data::$_restrictedEntityNames","<span class=""label label-info"">Info:</span>Use only letters. No numbers, no underscores, all in lowercase.<br /><span class=""label label-info"">Info:</span>:There are some restrictions to these values, because there are reserved strings that might make the code not function properly. For example: 'resource', 'setup'. For a complete list of restrictions see Ultimate_ModuleCreator_Helper_Data::$_restrictedEntityNames"
"<span class=""label label-warning"">Known issue:</span>If all the default Magento RSS feeds are disabled, but the general RSS feed is enabled and the RSS feed for your entity is also enabled a message will apprear on the RSS list page: 'There are no Rss Feeds'. This happens because Magento RSS list functionality does not allow adding custom RSS feeds without overriding a block.","<span class=""label label-warning"">Known issue:</span>If all the default Magento RSS feeds are disabled, but the general RSS feed is enabled and the RSS feed for your entity is also enabled a message will apprear on the RSS list page: 'There are no Rss Feeds'. This happens because Magento RSS list functionality does not allow adding custom RSS feeds without overriding a block."
"<span class=""label label-warning"">Warning:</span>The zip is not compatible with Magento Connect. It's just a simple archive with the files of the module.<br />If you choose to install the module directly no file will be overwritten. If by a human error or UMC error a file should be overwritten then the 'Action' is changed to 'Create an archive. I will install it later.' and you will be notified of the files that were not overwritten.","<span class=""label label-warning"">Warning:</span>The zip is not compatible with Magento Connect. It's just a simple archive with the files of the module.<br />If you choose to install the module directly no file will be overwritten. If by a human error or UMC error a file should be overwritten then the 'Action' is changed to 'Create an archive. I will install it later.' and you will be notified of the files that were not overwritten."
???,???
"A ""sibling"" relation between and EAV Tree entity and a Flat Tree entity did not behave as expected. but this is no problem. No one will use this kind of relation.","A ""sibling"" relation between and EAV Tree entity and a Flat Tree entity did not behave as expected. but this is no problem. No one will use this kind of relation."
"A attribute/field with the code ""url_key"" will be added by default to your entity oif you choose to create URL rewrites for your entity","A attribute/field with the code ""url_key"" will be added by default to your entity oif you choose to create URL rewrites for your entity"
"A block added to the RSS feed list","A block added to the RSS feed list"
"A click on any row on the comments grid ended up in a ""Comment not found"" error.","A click on any row on the comments grid ended up in a ""Comment not found"" error."
"A field with the code ""children_count"" will be added by default to your entity if the entity has ""Tree behavior""","A field with the code ""children_count"" will be added by default to your entity if the entity has ""Tree behavior"""
"A field with the code ""level"" will be added by default to your entity if the entity has ""Tree behavior""","A field with the code ""level"" will be added by default to your entity if the entity has ""Tree behavior"""
"A field with the code ""parent_id"" will be added by default to your entity if the entity has ""Tree behavior""","A field with the code ""parent_id"" will be added by default to your entity if the entity has ""Tree behavior"""
"A field with the code ""path"" will be added by default to your entity if the entity has ""Tree behavior""","A field with the code ""path"" will be added by default to your entity if the entity has ""Tree behavior"""
"A field/attribute cannot have the code ""node""","A field/attribute cannot have the code ""node"""
"A file for generating content had a wrong name","A file for generating content had a wrong name"
"A source model that returns 3 possible values","A source model that returns 3 possible values"
"A source model that returns available countries","A source model that returns available countries"
"A source model that returns available dropdown values","A source model that returns available dropdown values"
"API V2 model","API V2 model"
"API model","API model"
"API v1 model","API v1 model"
"API v2 model","API v2 model"
"API xml for WS-I complience","API xml for WS-I complience"
"Abstract helper for image resizing","Abstract helper for image resizing"
Action,Action
"Acts as name","Acts as name"
"Add ""Created at"" to admin grid","Add ""Created at"" to admin grid"
"Add ""Updated at"" to admin grid","Add ""Updated at"" to admin grid"
"Add SEO attributes","Add SEO attributes"
